# AUTO-GENERATED by tools/datamine_item_play_regions.py --emit -- DO NOT EDIT.
# Per ITEM PLACEMENT: the play_region id(s) of the ground the pickup stands on,
#   read from MSB Region/PlayArea <PlayRegionID> by point-in-volume test -- the
#   exact id the client's kick-watch reads. buckets = ID // 100.
# One row per placement: a flag placed in two maps has two rows (442 flags are).
# source: volume:/interior-vol: = a volume CONTAINS it (the ruling); seam:/
#   interior-seam: = within 8 m of a volume face; tile-default/interior-map =
#   the PlayRegionParam default for its own tile; '-' = no answer, and absence
#   of an answer is NOT evidence about the region.
# Calibrated by --graces against greenfield/grace_ground.tsv (docs/PLAYAREA-ITEM-SCAN.md).
flag	map_id	play_region_ids	buckets	source
190360	m11_10	1110000	11100	interior-map
190360	m12_02	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
190370	m11_10	1110000	11100	interior-map
190370	m12_02	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
190400	m11_10	1110000	11100	interior-map
190400	m12_02	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
190410	m11_10	1110000	11100	interior-map
190410	m12_02	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
190530	m11_10	1110000	11100	interior-map
190530	m12_01	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
190620	m11_10	1110000	11100	interior-map
190620	m12_01	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
190630	m11_10	1110000	11100	interior-map
190630	m12_01	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
190640	m11_10	1110000	11100	interior-map
190640	m12_01	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
190650	m11_10	1110000	11100	interior-map
190650	m12_01	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
190660	m11_10	1110000	11100	interior-map
190660	m12_01	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
190670	m11_10	1110000	11100	interior-map
190670	m12_01	1201000;1201001;1201002;1201003;1201011;1201012;1201013;1201014;1201015;1201016;1201017	12010	interior-map
190760	m11_10	1110000	11100	interior-map
190760	m12_05	1205000;1205001;1205002;1205003;1205004;1205005;1205006;1205007;1205090	12050	interior-map
190770	m11_10	1110000	11100	interior-map
190770	m12_05	1205000;1205001;1205002;1205003;1205004;1205005;1205006;1205007;1205090	12050	interior-map
190810	m11_10	1110000	11100	interior-map
190810	m12_05	1205000;1205001;1205002;1205003;1205004;1205005;1205006;1205007;1205090	12050	interior-map
190820	m11_10	1110000	11100	interior-map
190820	m12_05	1205000;1205001;1205002;1205003;1205004;1205005;1205006;1205007;1205090	12050	interior-map
190830	m11_10	1110000	11100	interior-map
190830	m12_05	1205000;1205001;1205002;1205003;1205004;1205005;1205006;1205007;1205090	12050	interior-map
200250	m11_10	1110000	11100	interior-map
200250	m60_38_41	-	-	none
200250	m60_42_36	6100001	61000	tile-default
250010	m11_10	1110000	11100	interior-map
250020	m11_10	1110000	11100	interior-map
250030	m11_10	1110000	11100	interior-map
250040	m11_10	1110000	11100	interior-map
250050	m11_10	1110000	11100	interior-map
250060	m11_10	1110000	11100	interior-map
250070	m11_10	1110000	11100	interior-map
250080	m11_10	1110000	11100	interior-map
250090	m11_10	1110000	11100	interior-map
250100	m11_10	1110000	11100	interior-map
250110	m11_10	1110000	11100	interior-map
250120	m11_10	1110000	11100	interior-map
250130	m11_10	1110000	11100	interior-map
250140	m11_10	1110000	11100	interior-map
250150	m11_10	1110000	11100	interior-map
250160	m11_10	1110000	11100	interior-map
250170	m11_10	1110000	11100	interior-map
250180	m11_10	1110000	11100	interior-map
250190	m11_10	1110000	11100	interior-map
250200	m11_10	1110000	11100	interior-map
250210	m11_10	1110000	11100	interior-map
250220	m11_10	1110000	11100	interior-map
250230	m11_10	1110000	11100	interior-map
250240	m11_10	1110000	11100	interior-map
250250	m11_10	1110000	11100	interior-map
250260	m11_10	1110000	11100	interior-map
250270	m11_10	1110000	11100	interior-map
250280	m11_10	1110000	11100	interior-map
250290	m11_10	1110000	11100	interior-map
250300	m11_10	1110000	11100	interior-map
250310	m11_10	1110000	11100	interior-map
250320	m11_10	1110000	11100	interior-map
250330	m11_10	1110000	11100	interior-map
250340	m11_10	1110000	11100	interior-map
250350	m11_10	1110000	11100	interior-map
250360	m11_10	1110000	11100	interior-map
250370	m11_10	1110000	11100	interior-map
250380	m11_10	1110000	11100	interior-map
250390	m11_10	1110000	11100	interior-map
250400	m11_10	1110000	11100	interior-map
250410	m11_10	1110000	11100	interior-map
250420	m11_10	1110000	11100	interior-map
250430	m11_10	1110000	11100	interior-map
250440	m11_10	1110000	11100	interior-map
250450	m11_10	1110000	11100	interior-map
250460	m11_10	1110000	11100	interior-map
250470	m11_10	1110000	11100	interior-map
250480	m11_10	1110000	11100	interior-map
250500	m11_10	1110000	11100	interior-map
250510	m11_10	1110000	11100	interior-map
250520	m11_10	1110000	11100	interior-map
250530	m11_10	1110000	11100	interior-map
250550	m11_10	1110000	11100	interior-map
250560	m11_10	1110000	11100	interior-map
250570	m11_10	1110000	11100	interior-map
250580	m11_10	1110000	11100	interior-map
250590	m11_10	1110000	11100	interior-map
250600	m11_10	1110000	11100	interior-map
250610	m11_10	1110000	11100	interior-map
250620	m11_10	1110000	11100	interior-map
250630	m11_10	1110000	11100	interior-map
250640	m11_10	1110000	11100	interior-map
250650	m11_10	1110000	11100	interior-map
250660	m11_10	1110000	11100	interior-map
250670	m11_10	1110000	11100	interior-map
250680	m11_10	1110000	11100	interior-map
250690	m11_10	1110000	11100	interior-map
280030	m11_10	1110000	11100	interior-map
280040	m11_10	1110000	11100	interior-map
280050	m11_10	1110000	11100	interior-map
280070	m11_10	1110000	11100	interior-map
280980	m11_10	1110000	11100	interior-map
280990	m11_10	1110000	11100	interior-map
290000	m11_10	1110000	11100	interior-map
290010	m11_10	1110000	11100	interior-map
290020	m11_10	1110000	11100	interior-map
290030	m11_10	1110000	11100	interior-map
290040	m11_10	1110000	11100	interior-map
290050	m11_10	1110000	11100	interior-map
290060	m11_10	1110000	11100	interior-map
290070	m11_10	1110000	11100	interior-map
290080	m11_10	1110000	11100	interior-map
290090	m11_10	1110000	11100	interior-map
290100	m11_10	1110000	11100	interior-map
290110	m11_10	1110000	11100	interior-map
290120	m11_10	1110000	11100	interior-map
290130	m11_10	1110000	11100	interior-map
290140	m11_10	1110000	11100	interior-map
290150	m11_10	1110000	11100	interior-map
290160	m11_10	1110000	11100	interior-map
290170	m11_10	1110000	11100	interior-map
290180	m11_10	1110000	11100	interior-map
290190	m11_10	1110000	11100	interior-map
290200	m11_10	1110000	11100	interior-map
290210	m11_10	1110000	11100	interior-map
290220	m11_10	1110000	11100	interior-map
290230	m11_10	1110000	11100	interior-map
290240	m11_10	1110000	11100	interior-map
290250	m11_10	1110000	11100	interior-map
290260	m11_10	1110000	11100	interior-map
290270	m11_10	1110000	11100	interior-map
290280	m11_10	1110000	11100	interior-map
290290	m11_10	1110000	11100	interior-map
290300	m11_10	1110000	11100	interior-map
290310	m11_10	1110000	11100	interior-map
290320	m11_10	1110000	11100	interior-map
290330	m11_10	1110000	11100	interior-map
290340	m11_10	1110000	11100	interior-map
290350	m11_10	1110000	11100	interior-map
290360	m11_10	1110000	11100	interior-map
290370	m11_10	1110000	11100	interior-map
290380	m11_10	1110000	11100	interior-map
290390	m11_10	1110000	11100	interior-map
290400	m11_10	1110000	11100	interior-map
290410	m11_10	1110000	11100	interior-map
290420	m11_10	1110000	11100	interior-map
290430	m11_10	1110000	11100	interior-map
290440	m11_10	1110000	11100	interior-map
290450	m11_10	1110000	11100	interior-map
290460	m11_10	1110000	11100	interior-map
290470	m11_10	1110000	11100	interior-map
290480	m11_10	1110000	11100	interior-map
290500	m60_41_35	-	-	none
290500	m60_48_36	-	-	none
290510	m60_48_36	-	-	none
290520	m60_48_36	-	-	none
290530	m60_48_36	-	-	none
290540	m60_48_36	-	-	none
290550	m60_48_36	-	-	none
290560	m60_48_36	-	-	none
290570	m60_48_36	-	-	none
290650	m61_49_39	-	-	none
290660	m61_49_39	-	-	none
290670	m61_49_39	-	-	none
290750	m60_41_35	-	-	none
290750	m60_48_36	-	-	none
290760	m60_41_35	-	-	none
290760	m60_48_36	-	-	none
290770	m60_48_36	-	-	none
290780	m60_48_36	-	-	none
290790	m60_48_36	-	-	none
320500	m11_10	1110000	11100	interior-map
320500	m61_45_42	-	-	none
320500	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320550	m11_10	1110000	11100	interior-map
320550	m61_45_42	-	-	none
320550	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320560	m11_10	1110000	11100	interior-map
320560	m61_45_42	-	-	none
320560	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320570	m11_10	1110000	11100	interior-map
320570	m61_45_42	-	-	none
320570	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320580	m11_10	1110000	11100	interior-map
320580	m61_45_42	-	-	none
320580	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320590	m11_10	1110000	11100	interior-map
320590	m61_45_42	-	-	none
320590	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320600	m11_10	1110000	11100	interior-map
320600	m61_45_42	-	-	none
320600	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320610	m11_10	1110000	11100	interior-map
320610	m61_45_42	-	-	none
320610	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320620	m11_10	1110000	11100	interior-map
320620	m61_45_42	-	-	none
320620	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320630	m11_10	1110000	11100	interior-map
320630	m61_45_42	-	-	none
320630	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320640	m11_10	1110000	11100	interior-map
320640	m61_45_42	-	-	none
320640	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320650	m11_10	1110000	11100	interior-map
320650	m61_45_42	-	-	none
320650	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320660	m11_10	1110000	11100	interior-map
320660	m61_45_42	-	-	none
320660	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320700	m11_10	1110000	11100	interior-map
320700	m61_45_42	-	-	none
320700	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320700	m61_48_43	-	-	none
320710	m11_10	1110000	11100	interior-map
320710	m61_45_42	-	-	none
320710	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320710	m61_48_43	-	-	none
320720	m11_10	1110000	11100	interior-map
320720	m61_45_42	-	-	none
320720	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320720	m61_48_43	-	-	none
320730	m11_10	1110000	11100	interior-map
320730	m61_45_42	-	-	none
320730	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320730	m61_48_43	-	-	none
320740	m11_10	1110000	11100	interior-map
320740	m61_45_42	-	-	none
320740	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320740	m61_48_43	-	-	none
320750	m11_10	1110000	11100	interior-map
320750	m61_45_42	-	-	none
320750	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320750	m61_48_43	-	-	none
320760	m11_10	1110000	11100	interior-map
320760	m61_45_42	-	-	none
320760	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320760	m61_48_43	-	-	none
320770	m11_10	1110000	11100	interior-map
320770	m61_45_42	-	-	none
320770	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320770	m61_48_43	-	-	none
320780	m11_10	1110000	11100	interior-map
320780	m61_45_42	-	-	none
320780	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320780	m61_48_43	-	-	none
320790	m11_10	1110000	11100	interior-map
320790	m61_45_42	-	-	none
320790	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320790	m61_48_43	-	-	none
320800	m11_10	1110000	11100	interior-map
320800	m61_45_42	-	-	none
320800	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320800	m61_48_43	-	-	none
320810	m11_10	1110000	11100	interior-map
320810	m61_45_42	-	-	none
320810	m61_47_46	6900000	69000	seam:プレイ領域 6900000 {2}@0.7m
320810	m61_48_43	-	-	none
330000	m11_10	1110000	11100	interior-map
330000	m61_50_45	-	-	none
330000	m61_51_45	6902010	69020	volume:マルチプレイエリア6902010 {3}
330010	m11_10	1110000	11100	interior-map
330010	m61_50_45	-	-	none
330010	m61_51_45	6902010	69020	volume:マルチプレイエリア6902010 {3}
330020	m11_10	1110000	11100	interior-map
330020	m61_50_45	-	-	none
330020	m61_51_45	6902010	69020	volume:マルチプレイエリア6902010 {3}
330030	m11_10	1110000	11100	interior-map
330030	m61_50_45	-	-	none
330030	m61_51_45	6902010	69020	volume:マルチプレイエリア6902010 {3}
330040	m11_10	1110000	11100	interior-map
330040	m61_50_45	-	-	none
330040	m61_51_45	6902010	69020	volume:マルチプレイエリア6902010 {3}
330050	m11_10	1110000	11100	interior-map
330050	m61_50_45	-	-	none
330050	m61_51_45	6902010	69020	volume:マルチプレイエリア6902010 {3}
330060	m11_10	1110000	11100	interior-map
330060	m61_50_45	-	-	none
330060	m61_51_45	6902010	69020	volume:マルチプレイエリア6902010 {3}
330070	m11_10	1110000	11100	interior-map
330070	m61_50_45	-	-	none
330070	m61_51_45	6902010	69020	volume:マルチプレイエリア6902010 {3}
330080	m11_10	1110000	11100	interior-map
330080	m61_50_45	-	-	none
330080	m61_51_45	6902010	69020	volume:マルチプレイエリア6902010 {3}
370000	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370000	m60_09_11	-	-	none
370000	m60_10_08	6102002	61020	tile-default
370000	m60_11_14	-	-	none
370000	m60_12_14	6501002;6501003	65010	tile-default
370010	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370010	m60_09_11	-	-	none
370010	m60_10_08	6102002	61020	tile-default
370010	m60_11_14	-	-	none
370010	m60_12_14	6501002;6501003	65010	tile-default
370020	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370020	m60_09_11	-	-	none
370020	m60_10_08	6102002	61020	tile-default
370020	m60_11_14	-	-	none
370020	m60_12_14	6501002;6501003	65010	tile-default
370030	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370030	m60_09_11	-	-	none
370030	m60_10_08	6102002	61020	tile-default
370030	m60_11_14	-	-	none
370030	m60_12_14	6501002;6501003	65010	tile-default
370040	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370040	m60_09_11	-	-	none
370040	m60_10_08	6102002	61020	tile-default
370040	m60_11_14	-	-	none
370040	m60_12_14	6501002;6501003	65010	tile-default
370050	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370050	m60_09_11	-	-	none
370050	m60_10_08	6102002	61020	tile-default
370050	m60_11_14	-	-	none
370050	m60_12_14	6501002;6501003	65010	tile-default
370060	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370060	m60_09_11	-	-	none
370060	m60_10_08	6102002	61020	tile-default
370060	m60_11_14	-	-	none
370060	m60_12_14	6501002;6501003	65010	tile-default
370070	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370070	m60_09_11	-	-	none
370070	m60_10_08	6102002	61020	tile-default
370070	m60_11_14	-	-	none
370070	m60_12_14	6501002;6501003	65010	tile-default
370080	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370080	m60_09_11	-	-	none
370080	m60_10_08	6102002	61020	tile-default
370080	m60_11_14	-	-	none
370080	m60_12_14	6501002;6501003	65010	tile-default
370100	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370100	m60_09_11	-	-	none
370100	m60_09_12	6201000	62010	tile-default
370100	m60_10_08	6102002	61020	tile-default
370100	m60_11_14	-	-	none
370100	m60_12_14	6501002;6501003	65010	tile-default
370110	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370110	m60_09_11	-	-	none
370110	m60_09_12	6201000	62010	tile-default
370110	m60_10_08	6102002	61020	tile-default
370110	m60_11_14	-	-	none
370110	m60_12_14	6501002;6501003	65010	tile-default
370120	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370120	m60_09_11	-	-	none
370120	m60_09_12	6201000	62010	tile-default
370120	m60_10_08	6102002	61020	tile-default
370120	m60_11_14	-	-	none
370120	m60_12_14	6501002;6501003	65010	tile-default
370130	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370130	m60_09_11	-	-	none
370130	m60_09_12	6201000	62010	tile-default
370130	m60_10_08	6102002	61020	tile-default
370130	m60_11_14	-	-	none
370130	m60_12_14	6501002;6501003	65010	tile-default
370140	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370140	m60_09_11	-	-	none
370140	m60_09_12	6201000	62010	tile-default
370140	m60_10_08	6102002	61020	tile-default
370140	m60_11_14	-	-	none
370140	m60_12_14	6501002;6501003	65010	tile-default
370150	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370150	m60_09_11	-	-	none
370150	m60_09_12	6201000	62010	tile-default
370150	m60_10_08	6102002	61020	tile-default
370150	m60_11_14	-	-	none
370150	m60_12_14	6501002;6501003	65010	tile-default
370160	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370160	m60_09_11	-	-	none
370160	m60_09_12	6201000	62010	tile-default
370160	m60_10_08	6102002	61020	tile-default
370160	m60_11_14	-	-	none
370160	m60_12_14	6501002;6501003	65010	tile-default
370170	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370170	m60_09_11	-	-	none
370170	m60_09_12	6201000	62010	tile-default
370170	m60_10_08	6102002	61020	tile-default
370170	m60_11_14	-	-	none
370170	m60_12_14	6501002;6501003	65010	tile-default
370180	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370180	m60_09_11	-	-	none
370180	m60_09_12	6201000	62010	tile-default
370180	m60_10_08	6102002	61020	tile-default
370180	m60_11_14	-	-	none
370180	m60_12_14	6501002;6501003	65010	tile-default
370200	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370200	m60_09_11	-	-	none
370200	m60_09_12	6201000	62010	tile-default
370200	m60_10_08	6102002	61020	tile-default
370200	m60_11_14	-	-	none
370200	m60_12_14	6501002;6501003	65010	tile-default
370210	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370210	m60_09_11	-	-	none
370210	m60_09_12	6201000	62010	tile-default
370210	m60_10_08	6102002	61020	tile-default
370210	m60_11_14	-	-	none
370210	m60_12_14	6501002;6501003	65010	tile-default
370220	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370220	m60_09_11	-	-	none
370220	m60_09_12	6201000	62010	tile-default
370220	m60_10_08	6102002	61020	tile-default
370220	m60_11_14	-	-	none
370220	m60_12_14	6501002;6501003	65010	tile-default
370230	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370230	m60_09_11	-	-	none
370230	m60_09_12	6201000	62010	tile-default
370230	m60_10_08	6102002	61020	tile-default
370230	m60_11_14	-	-	none
370230	m60_12_14	6501002;6501003	65010	tile-default
370240	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370240	m60_09_11	-	-	none
370240	m60_09_12	6201000	62010	tile-default
370240	m60_10_08	6102002	61020	tile-default
370240	m60_11_14	-	-	none
370240	m60_12_14	6501002;6501003	65010	tile-default
370250	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370250	m60_09_11	-	-	none
370250	m60_09_12	6201000	62010	tile-default
370250	m60_10_08	6102002	61020	tile-default
370250	m60_11_14	-	-	none
370250	m60_12_14	6501002;6501003	65010	tile-default
370260	m12_03	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
370260	m60_09_11	-	-	none
370260	m60_09_12	6201000	62010	tile-default
370260	m60_10_08	6102002	61020	tile-default
370260	m60_11_14	-	-	none
370260	m60_12_14	6501002;6501003	65010	tile-default
380000	m61_50_45	-	-	none
380000	m61_51_39	-	-	none
380000	m61_53_48	-	-	none
380010	m61_50_45	-	-	none
380010	m61_51_39	-	-	none
380010	m61_53_48	-	-	none
380020	m61_50_45	-	-	none
380020	m61_51_39	-	-	none
380020	m61_53_48	-	-	none
380030	m61_50_45	-	-	none
380030	m61_51_39	-	-	none
380030	m61_53_48	-	-	none
380040	m61_50_45	-	-	none
380040	m61_51_39	-	-	none
380040	m61_53_48	-	-	none
380050	m61_50_45	-	-	none
380050	m61_51_39	-	-	none
380050	m61_53_48	-	-	none
380060	m61_50_45	-	-	none
380060	m61_51_39	-	-	none
380060	m61_53_48	-	-	none
380070	m61_50_45	-	-	none
380070	m61_51_39	-	-	none
380070	m61_53_48	-	-	none
380080	m61_50_45	-	-	none
380080	m61_51_39	-	-	none
380080	m61_53_48	-	-	none
380100	m61_50_45	-	-	none
380100	m61_51_39	-	-	none
380100	m61_53_48	-	-	none
380110	m61_50_45	-	-	none
380110	m61_51_39	-	-	none
380110	m61_53_48	-	-	none
380120	m61_50_45	-	-	none
380120	m61_51_39	-	-	none
380120	m61_53_48	-	-	none
380130	m61_50_45	-	-	none
380130	m61_51_39	-	-	none
380130	m61_53_48	-	-	none
380140	m61_50_45	-	-	none
380140	m61_51_39	-	-	none
380140	m61_53_48	-	-	none
380150	m61_50_45	-	-	none
380150	m61_51_39	-	-	none
380150	m61_53_48	-	-	none
380160	m61_50_45	-	-	none
380160	m61_51_39	-	-	none
380160	m61_53_48	-	-	none
380170	m61_50_45	-	-	none
380170	m61_51_39	-	-	none
380170	m61_53_48	-	-	none
380180	m61_50_45	-	-	none
380180	m61_51_39	-	-	none
380180	m61_53_48	-	-	none
380200	m11_10	1110000	11100	interior-map
380200	m61_50_45	-	-	none
380200	m61_51_39	-	-	none
380200	m61_53_48	-	-	none
380210	m11_10	1110000	11100	interior-map
380210	m61_50_45	-	-	none
380210	m61_51_39	-	-	none
380210	m61_53_48	-	-	none
380220	m11_10	1110000	11100	interior-map
380220	m61_50_45	-	-	none
380220	m61_51_39	-	-	none
380220	m61_53_48	-	-	none
380230	m11_10	1110000	11100	interior-map
380230	m61_50_45	-	-	none
380230	m61_51_39	-	-	none
380230	m61_53_48	-	-	none
380240	m11_10	1110000	11100	interior-map
380240	m61_50_45	-	-	none
380240	m61_51_39	-	-	none
380240	m61_53_48	-	-	none
380250	m11_10	1110000	11100	interior-map
380250	m61_50_45	-	-	none
380250	m61_51_39	-	-	none
380250	m61_53_48	-	-	none
380260	m11_10	1110000	11100	interior-map
380260	m61_50_45	-	-	none
380260	m61_51_39	-	-	none
380260	m61_53_48	-	-	none
400036	m60_35_44_00	-	-	none
400036	m60_42_36_00	6100001	61000	tile-default
400037	m12_05_00_00	1205000;1205001;1205002;1205003;1205004;1205005;1205006;1205007;1205090	12050	interior-map
400049	m60_42_36_00	6100001	61000	tile-default
400051	m10_00_00_00	1000006	10000	interior-vol:プレイ領域 Compositeパーツ 1000006 ②
400069	m60_43_31_00	6102001	61020	volume:領域 プレイ領域 6102001 緑_地図断片１_緑砦 合成領域3
400069	m60_45_34_00	-	-	none
400080	m60_45_34_00	-	-	none
400089	m35_00_00_00	3500092	35000	interior-seam:パーツ：プレイ領域 09 - 02@1.9m
400089	m60_36_49_00	-	-	none
400089	m60_38_41_00	-	-	none
400089	m60_38_43_00	-	-	none
400089	m60_39_40_00	-	-	none
400089	m60_45_34_00	-	-	none
400091	m16_00_00_00	1600001	16000	interior-vol:プレイ領域（Compositeパーツ） 1600001 ④
400106	m60_34_50_00	-	-	none
400130	m60_35_42_00	-	-	none
400158	m60_34_50_00	-	-	none
400163	m60_35_46_00	1400011	14000	volume:プレイ領域 モンサン前階段03
400163	m60_39_52_00	-	-	none
400163	m60_43_35_00	-	-	none
400163	m60_44_38_00	-	-	none
400163	m60_44_38_10	-	-	none
400164	m60_49_53_00	6501000	65010	tile-default
400175	m13_00_00_00	1300019	13000	interior-vol:プレイ領域 1300002 →1300019 下層と揃える
400175	m32_07_00_00	-1;3207090	-1;32070	interior-vol:パーツ プレイ領域 3207003
400175	m60_35_53_00	6302002	63020	tile-default
400175	m60_39_44_00	-	-	none
400175	m60_43_39_00	-	-	none
400175	m60_51_36_00	6400010;6400090	64000	volume:プレイ領域 Compositeパーツ 6409010 A
400175	m60_52_38_00	6400003	64000	tile-default
400189	m16_00_00_00	1600012	16000	interior-seam:プレイ領域 1600012@8.0m
400189	m31_00_00_00	3100000;3100001	31000	interior-map
400189	m60_37_42_00	-	-	none
400189	m60_37_54_00	6302000	63020	tile-default
400189	m60_39_54_00	-	-	none
400209	m60_37_46_00	-	-	none
400220	m10_00_00_00	1000000;1000001;1000002;1000003;1000004;1000005;1000006;1000007;1000008;1000009;1000011;1000012;1000013;1000090;1000091	10000	interior-map
400220	m60_45_38_00	-	-	none
400220	m60_45_38_10	-	-	none
400220	m60_46_36_00	-	-	none
400220	m60_46_36_10	-	-	none
400239	m60_51_43_00	6402001	64020	tile-default
400299	m60_42_38_00	-	-	none
400300	m11_10	1110000	11100	interior-map
400300	m60_36_43	-	-	none
400300	m60_36_43_00	-	-	none
400300	m60_44_52	-	-	none
400300	m60_44_52_00	-	-	none
400300	m60_44_52_10	-	-	none
400321	m15_00_00_00	1500000;1500001;1500002;1500003;1500004;1500005;1500010;1500011;1500012;1500090	15000	interior-map
400323	m15_00_00_00	1500000;1500001;1500002;1500003;1500004;1500005;1500010;1500011;1500012;1500090	15000	interior-map
400323	m60_42_55_00	-	-	none
400323	m60_51_56_00	6501000	65010	volume:プレイ領域 6501000 構成パーツ4
400348	m12_02_00_00	1202000;1202001;1202002;1202003;1202004;1202005;1202006;1202007;1202011;1202012;1202013;1202020;1202032;1202033;1202034	12020	interior-map
400348	m12_03_00_00	1203000;1203001;1203002;1203003;1203004;1203005	12030	interior-map
400349	m11_10_00_00	1110000	11100	interior-map
400349	m60_44_39_00	6100004	61000	tile-default
400349	m60_44_39_10	6100004	61000	tile-default
400349	m60_45_39_00	-	-	none
400349	m60_45_39_10	-	-	none
400360	m60_39_39_00	-	-	none
400370	m11_00_00_00	1100000;1100001;1100002;1100010;1100011;1100012;1100013;1100014;1100015;1100016;1100017;1100018;1100019;1100021;1100090;1100091;1100092	11000	interior-map
400370	m11_05_00_00	1105000;1105001;1105002;1105010;1105011;1105012;1105013;1105014;1105020;1105090;1105091;1105092;1105093	11050	interior-map
400370	m11_10_00_00	1110000	11100	interior-map
400370	m60_40_52_00	-	-	none
400370	m60_40_54_00	-	-	none
400370	m60_51_56_00	-	-	none
400381	m11_10_00_00	1110000	11100	interior-map
400381	m35_00_00_00	3500000;3500001;3500002;3500003;3500004;3500005;3500006;3500007;3500008;3500009;3500010;3500011;3500090;3500091;3500092	35000	interior-map
400381	m60_34_50_00	-	-	none
